FF,molecule_name,npoints,pressure,simkey,structure,temperature,unit_cells
GenericMOFs,N2,5.0,10.0,041a36d326f5f5563fbbef50e768,SABWAU01_clean_coremof-2019,298.15,"[2, 2, 4]"
GenericMOFs,N2,5.0,250007.5,08b869016944617736e06f747a52,SABWAU01_clean_coremof-2019,298.15,"[2, 2, 4]"
GenericMOFs,N2,5.0,500005.0,96da7cf41bd918d9bddc4b46ce65,SABWAU01_clean_coremof-2019,298.15,"[2, 2, 4]"
GenericMOFs,N2,5.0,750002.5,1db4722c20c4e3da6e5174ada9e7,SABWAU01_clean_coremof-2019,298.15,"[2, 2, 4]"
GenericMOFs,N2,5.0,1000000.0,1ca3735967560d4420a62baa3bf4,SABWAU01_clean_coremof-2019,298.15,"[2, 2, 4]"
GenericMOFs,methane,5.0,10.0,19614915f15416a207981c365d11,SABWAU01_clean_coremof-2019,298.15,"[2, 2, 4]"
GenericMOFs,methane,5.0,250007.5,62a054f9ae0c924725cfa5dec996,SABWAU01_clean_coremof-2019,298.15,"[2, 2, 4]"
GenericMOFs,methane,5.0,500005.0,fac023e19c683e218378efcddb04,SABWAU01_clean_coremof-2019,298.15,"[2, 2, 4]"
GenericMOFs,methane,5.0,750002.5,d125eae5b2bdb136c10fcf4f669c,SABWAU01_clean_coremof-2019,298.15,"[2, 2, 4]"
GenericMOFs,methane,5.0,1000000.0,ebb8e5234981cd5a2c0351a9855a,SABWAU01_clean_coremof-2019,298.15,"[2, 2, 4]"
GenericMOFs,N2,5.0,10.0,869a57d7da417c471bb350fea963,KAXQIL_clean_coremof-2019,298.15,"[5, 3, 2]"
GenericMOFs,N2,5.0,250007.5,ddd0c10de958f1e9191ebc414852,KAXQIL_clean_coremof-2019,298.15,"[5, 3, 2]"
GenericMOFs,N2,5.0,500005.0,f93ffeb1a8c676563ccea514d875,KAXQIL_clean_coremof-2019,298.15,"[5, 3, 2]"
GenericMOFs,N2,5.0,750002.5,83517caf454438a172a31be6e1da,KAXQIL_clean_coremof-2019,298.15,"[5, 3, 2]"
GenericMOFs,N2,5.0,1000000.0,bf94d5bb572b84b413f957c0ed5f,KAXQIL_clean_coremof-2019,298.15,"[5, 3, 2]"
GenericMOFs,methane,5.0,10.0,a0e38e9a802a3007aea79964ebf3,KAXQIL_clean_coremof-2019,298.15,"[5, 3, 2]"
GenericMOFs,methane,5.0,250007.5,872520a77365cf2817d4999eb21a,KAXQIL_clean_coremof-2019,298.15,"[5, 3, 2]"
GenericMOFs,methane,5.0,500005.0,7d5ba6cd047f65941e436350067d,KAXQIL_clean_coremof-2019,298.15,"[5, 3, 2]"
GenericMOFs,methane,5.0,750002.5,e43e3a9f247415e0f173a040a9e5,KAXQIL_clean_coremof-2019,298.15,"[5, 3, 2]"
GenericMOFs,methane,5.0,1000000.0,9dd6d45433342f2f85caac18e7b8,KAXQIL_clean_coremof-2019,298.15,"[5, 3, 2]"
GenericMOFs,N2,5.0,10.0,9c3cd189258978a8ca36479f212f,SABWAU_SL_coremof-2019,298.15,"[4, 4, 3]"
GenericMOFs,N2,5.0,250007.5,ec99971a5b1dc0f00b3f44d76443,SABWAU_SL_coremof-2019,298.15,"[4, 4, 3]"
GenericMOFs,N2,5.0,500005.0,ee8fd9e58e4e53a6a800e5478b40,SABWAU_SL_coremof-2019,298.15,"[4, 4, 3]"
GenericMOFs,N2,5.0,750002.5,0a50635887c7ad6b5281210b6074,SABWAU_SL_coremof-2019,298.15,"[4, 4, 3]"
GenericMOFs,N2,5.0,1000000.0,5f0921a3b0b6e94ea393f9e5867e,SABWAU_SL_coremof-2019,298.15,"[4, 4, 3]"
GenericMOFs,methane,5.0,10.0,b3eaeadacbd03426e7d89dcddbba,SABWAU_SL_coremof-2019,298.15,"[4, 4, 3]"
GenericMOFs,methane,5.0,250007.5,38b4b6156d9444dd569db85d9548,SABWAU_SL_coremof-2019,298.15,"[4, 4, 3]"
GenericMOFs,methane,5.0,500005.0,bdec9d6b9b4716f7b04c3cb7047c,SABWAU_SL_coremof-2019,298.15,"[4, 4, 3]"
GenericMOFs,methane,5.0,750002.5,3e2d4d179600e45df75411c0b37e,SABWAU_SL_coremof-2019,298.15,"[4, 4, 3]"
GenericMOFs,methane,5.0,1000000.0,d89de2b8f868c974649122580f52,SABWAU_SL_coremof-2019,298.15,"[4, 4, 3]"
